Time, xActual, yActual, angleActual, xTarget, yTarget, angleTarget, XTE, lagE, angleE, pLeft, pRight
195.172875, 1.9064448532985465, 0.988289038283096, 0.1726031070440518, 1.9333090334184382, 0.9964551327662077, 0.05518754924858917, 0.006549470550108027, 0.02589924981260721, -0.11623018092518263, 0.17213691361677427, 0.025135586567119644
195.178155, 1.9070712552214555, 0.988398243839164, 0.17240263885933146, 1.9343621841505032, 0.9965624422240916, 0.05429011906552833, 0.006597358977664554, 0.026642246872525765, -0.11721508961074228, 0.15179926920081083, 0.014302213810601205
195.18243, 1.9076280763792879, 0.9884952038215801, 0.17240263885933146, 1.9351370925101758, 0.9966305007777547, 0.05363515096219595, 0.006604667544469445, 0.027132475382702265, -0.11811251979380313, 0.15273090423571287, 0.014351035796052153
195.187794, 1.9082545001818494, 0.9886042838017981, 0.17220217067461177, 1.9361093985783089, 0.996715896352456, 0.052813338352544495, 0.006573514421756611, 0.02727421561444231, -0.11856701971241582, 0.1531310475494721, 0.014234372945773024
195.193148, 1.9088113407658847, 0.9887011321573399, 0.17220217067461113, 1.9370798919953123, 0.9968011327258626, 0.05199305783201977, 0.006562557761251593, 0.027683085829871053, -0.11938883232206664, 0.15396178073023126, 0.014221380195871353
195.197596, 1.9092289712039112, 0.9887737684239962, 0.1718012343051711, 1.9378861592195968, 0.996871945461931, 0.051311584586729624, 0.006569114439089772, 0.028230464077834715, -0.11980817647315134, 0.15471227437589907, 0.014565643046130825
195.202865, 1.9097162406520543, 0.9888583153778525, 0.17200170248989144, 1.9388412451019612, 0.9969558286243287, 0.05050432682381695, 0.006558273977012626, 0.028543854359018645, -0.12069011790316181, 0.15547747583416538, 0.014427222150232386
195.208105, 1.9102731006399145, 0.9889550521026279, 0.17200170248989144, 1.9397910742960356, 0.9970392501029705, 0.04970151211938485, 0.00654837333061379, 0.028935620084551063, -0.12149737566607449, 0.156282771087553, 0.014405458347909628
195.213363, 1.9108299606277748, 0.9890517888274033, 0.17200170248989144, 1.940744166262153, 0.9971229581439438, 0.04889593965451594, 0.006538779231916533, 0.029322176056542353, -0.12230019037050659, 0.15708032851045758, 0.014381012868987603
195.218641, 1.9113172131171525, 0.9891364334615818, 0.1718012343051711, 1.9417008835305385, 0.9972069845875071, 0.04808730301138485, 0.006538694187682469, 0.02978213602514092, -0.12290529465065517, 0.1578429256633645, 0.01453833565327782
